id,lat,long,time
A,22.4444652,88.3920541,17-04-2017 07:24
B,22.441739,88.3935976,17-04-2017 07:24
C,22.4418407,88.3937579,17-04-2017 07:24
A,22.4418585,88.3936866,17-04-2017 07:24
B,22.4418523,88.393681,17-04-2017 07:24
C,22.3498334,88.4424925,17-04-2017 08:29
A,22.3497651,88.442442,17-04-2017 08:29
B,22.3497257,88.4424259,17-04-2017 08:29
C,22.3496405,88.4423595,17-04-2017 08:29
A,22.349763,88.4424447,17-04-2017 08:29
B,22.3497587,88.4424415,17-04-2017 08:30
C,22.3497554,88.4424397,17-04-2017 08:30
A,22.3497533,88.4424385,17-04-2017 08:30
B,22.3497498,88.4424358,17-04-2017 08:30
C,22.3497579,88.4424413,17-04-2017 08:30
A,22.3497586,88.4424415,17-04-2017 08:30
B,22.3497274,88.4424226,17-04-2017 08:30
C,22.3496405,88.4423595,17-04-2017 08:30
A,22.3497358,88.4424261,17-04-2017 08:30
B,22.3497344,88.442427,17-04-2017 08:30
C,22.3497719,88.4424467,17-04-2017 08:30
A,22.3497452,88.4424276,17-04-2017 08:31
B,22.3498353,88.4424926,17-04-2017 08:31
C,22.3496405,88.4423595,17-04-2017 08:31
A,22.3496405,88.4423595,17-04-2017 08:31
B,22.3497421,88.4424273,17-04-2017 08:31
C,22.3497427,88.44243,17-04-2017 08:31
A,22.3497547,88.4424366,17-04-2017 08:31
B,22.3498333,88.4424922,17-04-2017 08:31
C,22.3497656,88.4424443,17-04-2017 08:31
A,22.3498336,88.4424923,17-04-2017 08:31
B,22.3498333,88.4424921,17-04-2017 08:31
C,22.3498333,88.4424921,17-04-2017 08:32
A,22.3497656,88.4424443,17-04-2017 08:32
B,22.3497705,88.4424456,17-04-2017 08:32
C,22.3497719,88.4424467,17-04-2017 08:32
A,22.3497464,88.4424316,17-04-2017 08:32
B,22.3497719,88.4424467,17-04-2017 08:32
C,22.3497656,88.4424443,17-04-2017 08:32
A,22.3497502,88.4424366,17-04-2017 08:32
B,22.3497493,88.4424401,17-04-2017 08:32
C,22.3497651,88.4424414,17-04-2017 08:32
A,22.3497719,88.4424467,17-04-2017 08:32
B,22.3497705,88.4424456,17-04-2017 08:32
C,22.3497719,88.4424467,17-04-2017 08:32
A,22.3497705,88.4424456,17-04-2017 08:33
B,22.3497211,88.4424236,17-04-2017 08:33
C,22.3498336,88.4424923,17-04-2017 08:33
A,22.3497493,88.4424401,17-04-2017 08:33
B,22.3498333,88.4424922,17-04-2017 08:33
C,22.3498336,88.4424923,17-04-2017 08:33
A,22.3497697,88.4424428,17-04-2017 08:33
B,22.3497364,88.4424291,17-04-2017 08:33
C,22.3497402,88.4424343,17-04-2017 08:33
A,22.3497547,88.4424387,17-04-2017 08:33
B,22.3496407,88.442361,17-04-2017 08:33
C,22.3497307,88.4424254,17-04-2017 08:34
A,22.3497381,88.442429,17-04-2017 08:34
B,22.3497379,88.4424278,17-04-2017 08:34
C,22.349737,88.4424257,17-04-2017 08:34
A,22.3497307,88.4424254,17-04-2017 08:34
B,22.3496405,88.4423592,17-04-2017 08:34
C,22.3497323,88.4424221,17-04-2017 08:34
A,22.3497341,88.4424309,17-04-2017 08:34
B,22.3497438,88.4424297,17-04-2017 08:34
C,22.3497358,88.4424261,17-04-2017 08:34
A,22.3497381,88.442429,17-04-2017 08:34
B,22.3497366,88.442427,17-04-2017 08:35
C,22.3497422,88.442433,17-04-2017 08:35
A,22.3497337,88.4424202,17-04-2017 08:35
B,22.3497366,88.4424298,17-04-2017 08:35
C,22.3497427,88.44243,17-04-2017 08:35
A,22.3498333,88.4424922,17-04-2017 08:35
B,22.3497656,88.4424443,17-04-2017 08:35
C,22.3497427,88.44243,17-04-2017 08:35
A,22.3498336,88.4424923,17-04-2017 08:35
B,22.3497547,88.4424366,17-04-2017 08:35
C,22.3498336,88.4424923,17-04-2017 08:36
A,22.3497547,88.4424366,17-04-2017 08:36
B,22.3498338,88.4424934,17-04-2017 08:36
C,22.3497511,88.4424365,17-04-2017 08:36
F,22.497628,88.3713943,18-04-2017 04:26
D,22.497686,88.371363,18-04-2017 04:26
E,22.497759,88.3713238,18-04-2017 04:26
F,22.4978113,88.3713013,18-04-2017 04:26
D,22.4978956,88.371265,18-04-2017 04:26
E,22.4979684,88.371238,18-04-2017 04:26
F,22.4980424,88.3712044,18-04-2017 04:26
D,22.498158,88.3711533,18-04-2017 04:26
E,22.4982441,88.3711336,18-04-2017 04:26
F,22.4983497,88.3711408,18-04-2017 04:26
D,22.4984543,88.3711142,18-04-2017 04:26
E,22.4985527,88.3710692,18-04-2017 04:26
F,22.4986178,88.3710531,18-04-2017 04:26
D,22.4986798,88.3710375,18-04-2017 04:26
E,22.4987658,88.371028,18-04-2017 04:26
F,22.4988261,88.3710054,18-04-2017 04:26
D,22.4988992,88.3709806,18-04-2017 04:26
E,22.4989898,88.3709328,18-04-2017 04:27
F,22.4990899,88.3708761,18-04-2017 04:27
D,22.4992013,88.3708156,18-04-2017 04:27
E,22.4992013,88.3708156,18-04-2017 04:27
F,22.4993069,88.3707722,18-04-2017 04:27
D,22.4993869,88.3707643,18-04-2017 04:27
E,22.4996136,88.3707652,18-04-2017 04:27
F,22.4997242,88.3707572,18-04-2017 04:27
D,22.4998079,88.3706888,18-04-2017 04:27
E,22.4999562,88.370673,18-04-2017 04:27
F,22.5000664,88.3706114,18-04-2017 04:27
D,22.5001678,88.3705103,18-04-2017 04:27
E,22.5002477,88.3704544,18-04-2017 04:27
F,22.5002637,88.3704398,18-04-2017 04:27
D,22.5003047,88.3704384,18-04-2017 04:27
E,22.5003156,88.370422,18-04-2017 04:27
F,22.5002838,88.3703395,18-04-2017 04:27
D,22.5002219,88.3702243,18-04-2017 04:27
E,22.5001876,88.3701236,18-04-2017 04:27
F,22.5001509,88.3700279,18-04-2017 04:27
D,22.5001165,88.3699605,18-04-2017 04:27
E,22.5000769,88.3698641,18-04-2017 04:27
F,22.50005,88.3698238,18-04-2017 04:27
D,22.5000203,88.3697804,18-04-2017 04:27
E,22.4999334,88.3696172,18-04-2017 04:28
F,22.4999197,88.36958,18-04-2017 04:28
D,22.4999162,88.3695861,18-04-2017 04:28
E,22.4999484,88.3695967,18-04-2017 04:28
F,22.499954,88.3695893,18-04-2017 04:28
D,22.499957,88.3695849,18-04-2017 04:28
E,22.4999593,88.3695792,18-04-2017 04:28
F,22.4999603,88.3695762,18-04-2017 04:28
D,22.4999614,88.3695753,18-04-2017 04:28
E,22.4999623,88.3695751,18-04-2017 04:28
F,22.4999641,88.3695718,18-04-2017 04:28
D,22.4999828,88.3695724,18-04-2017 04:28
E,22.5000153,88.3695772,18-04-2017 04:28
F,22.5000131,88.3695724,18-04-2017 04:28
D,22.5000155,88.3695707,18-04-2017 04:28
E,22.5000246,88.3695717,18-04-2017 04:28
F,22.5000246,88.3695706,18-04-2017 04:28
D,22.5000226,88.3695688,18-04-2017 04:28
E,22.5000194,88.3695572,18-04-2017 04:28
F,22.4999491,88.3694767,18-04-2017 04:28
D,22.4998157,88.3694848,18-04-2017 04:28
E,22.4996888,88.3695145,18-04-2017 04:28
F,22.4994634,88.3696298,18-04-2017 04:28
D,22.4992327,88.3697353,18-04-2017 04:28
E,22.4990698,88.3697934,18-04-2017 04:28
F,22.4988849,88.3698699,18-04-2017 04:28
D,22.498692,88.3699505,18-04-2017 04:29
E,22.4984989,88.3700394,18-04-2017 04:29
F,22.4983287,88.3701149,18-04-2017 04:29
D,22.4980734,88.3702318,18-04-2017 04:29
E,22.4978861,88.3702951,18-04-2017 04:29
F,22.4976309,88.3703927,18-04-2017 04:29
D,22.4973997,88.3704702,18-04-2017 04:29
E,22.497291,88.3705088,18-04-2017 04:29
F,22.497196,88.3705442,18-04-2017 04:29
D,22.497063,88.3706038,18-04-2017 04:29
E,22.496957,88.3706143,18-04-2017 04:29
F,22.49684,88.3706376,18-04-2017 04:29
D,22.4967081,88.3706768,18-04-2017 04:29
E,22.4967081,88.3706768,18-04-2017 04:29
F,22.4965963,88.3706754,18-04-2017 04:29
D,22.4965337,88.3707032,18-04-2017 04:29
E,22.4965059,88.3707136,18-04-2017 04:29
F,22.4965023,88.3707231,18-04-2017 04:29
D,22.4964992,88.3707267,18-04-2017 04:29
E,22.496483,88.3707142,18-04-2017 04:29
F,22.4964823,88.3707098,18-04-2017 04:29
D,22.4964775,88.3707076,18-04-2017 04:29
E,22.4964784,88.3707103,18-04-2017 04:29
F,22.4964784,88.3707106,18-04-2017 04:29
D,22.4964783,88.3707105,18-04-2017 04:29
E,22.496477,88.3707091,18-04-2017 04:30
F,22.4964769,88.3707092,18-04-2017 04:30
D,22.4964772,88.3707095,18-04-2017 04:30
E,22.4964658,88.3707058,18-04-2017 04:30
F,22.4964099,88.3707349,18-04-2017 04:30
D,22.4963443,88.3707442,18-04-2017 04:30
E,22.4962407,88.3707561,18-04-2017 04:30
F,22.4961487,88.3707687,18-04-2017 04:30
D,22.4959934,88.3707922,18-04-2017 04:30
E,22.4959104,88.3708087,18-04-2017 04:30
F,22.4958695,88.3708159,18-04-2017 04:30
D,22.4958407,88.3708261,18-04-2017 04:30
E,22.4957797,88.3708677,18-04-2017 04:30
F,22.4956869,88.3709032,18-04-2017 04:30
D,22.4955871,88.3709315,18-04-2017 04:30
E,22.4955148,88.3709561,18-04-2017 04:30
F,22.4954447,88.3709794,18-04-2017 04:30
D,22.4952743,88.3710352,18-04-2017 04:30
E,22.4951547,88.3710937,18-04-2017 04:30
F,22.4950777,88.3711363,18-04-2017 04:30
D,22.4949674,88.371198,18-04-2017 04:30
E,22.4949179,88.3712447,18-04-2017 04:30
F,22.4948775,88.3712474,18-04-2017 04:30
D,22.4947721,88.3712793,18-04-2017 04:31
E,22.4946869,88.3713153,18-04-2017 04:31
F,22.4945126,88.371369,18-04-2017 04:31
D,22.4943397,88.3714499,18-04-2017 04:31
E,22.4941965,88.3715108,18-04-2017 04:31
F,22.4939392,88.3716159,18-04-2017 04:31
D,22.4939392,88.3716159,18-04-2017 04:31
E,22.4935703,88.3717392,18-04-2017 04:31
F,22.4935703,88.3717392,18-04-2017 04:31
D,22.4934288,88.3717623,18-04-2017 04:31
E,22.4933415,88.3717826,18-04-2017 04:31
F,22.4932105,88.3718319,18-04-2017 04:31
D,22.4930951,88.3718635,18-04-2017 04:31
E,22.4929434,88.3719257,18-04-2017 04:31
F,22.4927644,88.3719971,18-04-2017 04:31
D,22.4926531,88.3720398,18-04-2017 04:31
E,22.4924879,88.3720969,18-04-2017 04:31
F,22.492323,88.3721584,18-04-2017 04:31
D,22.4921704,88.3722457,18-04-2017 04:31
E,22.4920328,88.3723134,18-04-2017 04:31
F,22.4919406,88.3723613,18-04-2017 04:31
D,22.4918134,88.3724763,18-04-2017 04:31
E,22.4916824,88.372544,18-04-2017 04:31
F,22.4916139,88.3726788,18-04-2017 04:31
D,22.4915216,88.3728745,18-04-2017 04:32
E,22.4914868,88.3730175,18-04-2017 04:32
F,22.491493,88.3731483,18-04-2017 04:32
D,22.4915277,88.3733433,18-04-2017 04:32
E,22.4915815,88.3735307,18-04-2017 04:32
F,22.4915815,88.3735307,18-04-2017 04:32
D,22.4916116,88.3736778,18-04-2017 04:32
E,22.4917286,88.3740568,18-04-2017 04:32
F,22.4918318,88.3742875,18-04-2017 04:32
D,22.4919345,88.3744332,18-04-2017 04:32
E,22.4921128,88.3746452,18-04-2017 04:32
F,22.4923252,88.3748403,18-04-2017 04:32
D,22.4924891,88.3749277,18-04-2017 04:32
E,22.4927516,88.3750105,18-04-2017 04:32
F,22.4929353,88.3750815,18-04-2017 04:32
D,22.4932325,88.3751798,18-04-2017 04:32
E,22.4934373,88.3752816,18-04-2017 04:32
F,22.4936984,88.3755135,18-04-2017 04:32
D,22.4938388,88.3756942,18-04-2017 04:32
E,22.4940272,88.3759468,18-04-2017 04:32
F,22.4941491,88.3761033,18-04-2017 04:32
D,22.4942883,88.3763466,18-04-2017 04:32
E,22.4943382,88.3765188,18-04-2017 04:32
F,22.4943442,88.3767919,18-04-2017 04:32
D,22.4942842,88.3771059,18-04-2017 04:33
E,22.4942298,88.3773155,18-04-2017 04:33
F,22.4941894,88.3776072,18-04-2017 04:33
D,22.4941511,88.37786,18-04-2017 04:33
E,22.494032,88.3780472,18-04-2017 04:33
F,22.4938531,88.3782018,18-04-2017 04:33
D,22.4936746,88.3783142,18-04-2017 04:33
E,22.493558,88.3783791,18-04-2017 04:33
F,22.4933716,88.378544,18-04-2017 04:33
D,22.4932096,88.378731,18-04-2017 04:33
E,22.4931489,88.3788536,18-04-2017 04:33
F,22.4931435,88.3790972,18-04-2017 04:33
D,22.4931642,88.3792034,18-04-2017 04:33
E,22.4931619,88.379232,18-04-2017 04:33
F,22.4931352,88.3793451,18-04-2017 04:33
D,22.4931281,88.3794411,18-04-2017 04:33
E,22.4931238,88.3795305,18-04-2017 04:33
F,22.493092,88.3796276,18-04-2017 04:33
D,22.4930799,88.3798193,18-04-2017 04:33
E,22.4930614,88.379984,18-04-2017 04:33
F,22.4930632,88.3801145,18-04-2017 04:33
D,22.493078,88.3803671,18-04-2017 04:33
E,22.4930827,88.3805388,18-04-2017 04:33
F,22.4930391,88.3807786,18-04-2017 04:34
D,22.4929846,88.3809919,18-04-2017 04:34
E,22.4929569,88.3811428,18-04-2017 04:34
F,22.4929474,88.3813124,18-04-2017 04:34
D,22.4929085,88.3815482,18-04-2017 04:34
E,22.4928639,88.3817058,18-04-2017 04:34
F,22.4928137,88.381857,18-04-2017 04:34
D,22.4926978,88.3820267,18-04-2017 04:34
E,22.4926134,88.3821681,18-04-2017 04:34
F,22.4925492,88.3822833,18-04-2017 04:34
D,22.492536,88.3823168,18-04-2017 04:34
E,22.4924832,88.3823675,18-04-2017 04:34
F,22.4924078,88.3824428,18-04-2017 04:34
D,22.4922894,88.38253,18-04-2017 04:34
E,22.4921828,88.3826161,18-04-2017 04:34
F,22.4921476,88.3826692,18-04-2017 04:34
